Titulo;Tesista;Grado;Asesor;Resumen;Año;Especialidad
"Implementaci&oacute;n de un sistema integral de gesti&oacute;n de la configuraci&oacute;n basado en ITIL V4 orientado a PYMES";Llaque Agramonte, Josue Manuel;Licenciatura;Tupia Anticona, Manuel Francisco,Bruzza Moncayo, Mariuxi Alexandra;"El presente proyecto de fin de carrera propone la implementación de un aplicativo web mediante el cual permita a una pequeña y mediana empresa la gestión de configuración de servicios de TI y sus activos, basado en el marco de trabajo ITIL V4.&#xD;&#xA;La coyuntura actual de la pandemia, ha puesto a prueba la continuidad de negocio en todo tipo de empresas. Jorge Arbache (2020), vicepresidente del sector privado del Banco de Desarrollo de América Latina (CAF) afirma que las pymes que sobrevivirán a la pandemia son las que empleen el uso de tecnologías de información, y por ende más productivas e innovadoras. Según la revisión sistemática realizada, se pudo determinar que las pymes no perciben el valor de sus tecnologías de información (TI), no hacen uso eficiente de éstas y por ende no ayudan a lograr los objetivos de negocio (Roberto C, 2014). Las pymes normalmente no aplican buenas prácticas relacionadas a la gestión de las tecnologías de información. Asimismo, la inexistencia de soluciones tecnológicas comerciales de gestión de la configuración orientadas a la pequeña y mediana empresa (Cruz-Hinojosa &amp; Gutiérrez-De-Mesa, 2016). Siendo estos problemas identificados la motivación para el desarrollo del objetivo principal del presente proyecto.&#xD;&#xA;Se plantearon tres objetivos específicos, los cuales son modelar el proceso que implica la gestión de configuración según las buenas prácticas relacionadas de ITIL V4, identificar los requisitos funcionales de la aplicación web para la gestión de activos y gestión de configuración del servicio e implementar la aplicación web que permita la gestión de configuración y de activos. El plan de construcción del software web fue bajo un modelo incremental, en donde se entregaron funcionalidades del sistema divididos en módulos de acuerdo a los requisitos funcionales planteados en el segundo objetivo específico.&#xD;&#xA;Finalmente, se plasma en los últimos capítulos los resultados esperados como evidencia del desarrollo de los objetivos específicos planteados, siendo estos el modelado de los procesos que implican la gestión de configuración, lista de requisitos funcionales y no funcionales, así como una matriz de trazabilidad que relaciona las buenas prácticas de ITIL de gestión de la configuración y los requisitos planteados. Por último, la documentación de análisis, diseño, arquitectura y todos los elementos resultados del proceso que implica la construcción y desarrollo del software web como plan de pruebas, código fuente, aplicativo web, reporte de pruebas, documento de instalación y guía de usuario.";2022-12-06;Ingeniería Informática1
"Implementaci&oacute;n de un sistema de informaci&oacute;n para la gesti&oacute;n de unidades de manipulaci&oacute;n en almacenes de grandes dimensiones";Canasa Mayta, Paul Rodrigo;Licenciatura;Tupia Anticona, Manuel Francisco;"Un almacén cuenta con tres funciones importantes. La primera está relacionada a la&#xD;&#xA;recepción, se debe realizar una verificación registrando la cantidad y las características&#xD;&#xA;de los productos recibidos para después ser almacenados. La segunda función abarca&#xD;&#xA;el control y gestión de los productos dentro de la infraestructura física. La tercera se&#xD;&#xA;refiere a la selección de productos a distribuir y el monitoreo de la entrega de estos al&#xD;&#xA;cliente.&#xD;&#xA;Una de las formas más comunes de administrar productos en un almacén de gran&#xD;&#xA;envergadura es mediante el uso de unidades de manipulación. Estas estructuras han&#xD;&#xA;sido utilizadas ampliamente como un importante equipo de logística unitaria, puesto que&#xD;&#xA;mejoran el proceso de carga y transporte de bienes. Además, su uso puede reducir la&#xD;&#xA;tasa de daños y errores, la necesidad de mano de obra y otros costos de manipulación.&#xD;&#xA;Existen varias consideraciones a tomar en cuenta al momento de recepcionar y&#xD;&#xA;despachar algún producto. Los almacenes pueden tener diferentes tipos de&#xD;&#xA;infraestructura y cada área dentro del almacén puede ser expuesta a distintos factores&#xD;&#xA;ambientales. Además, existen productos que deben estar distanciados de otros por su&#xD;&#xA;naturaleza, por ejemplo, no es posible mantener productos de consumo humano cerca&#xD;&#xA;de productos de limpieza. Otro punto a considerar son las políticas de rotación de&#xD;&#xA;productos, debido a que también influyen en la ubicación que deben tener en el almacén.&#xD;&#xA;Partiendo de esta problemática, el objetivo de este trabajo de fin de carrera es&#xD;&#xA;implementar un sistema de información para el soporte a la gestión de operaciones en&#xD;&#xA;la recepción y selección de productos para el despacho en almacenes de grandes&#xD;&#xA;dimensiones. Entre las funcionalidades más importantes se destacan la localización de&#xD;&#xA;los productos a despachar y las sugerencias por parte del sistema para que el usuario&#xD;&#xA;pueda almacenar los bienes recepcionados en el lugar más adecuado. Para lograr estas&#xD;&#xA;tareas se propone el uso de algoritmos metaheurísticos en la ubicación y salida de&#xD;&#xA;productos, así como se desarrollará un sistema web con el objetivo de monitorear las&#xD;&#xA;ubicaciones de los productos dentro del almacén y permitir al encargado realizar las&#xD;&#xA;funciones administrativas del mismo. Además, se implementará un aplicativo móvil con&#xD;&#xA;el fin de que el operario puede registrar los ingresos y salidas de bienes al almacén.";2022-10-13;Ingeniería Informática2
"Implementaci&oacute;n de sistemas de gesti&oacute;n de seguridad de la informaci&oacute;n (SGSI), de servicios de TI (ITSM) y firma electr&oacute;nica";Cabello Roca, Percy Ernesto;Licenciatura;Flores García, Luis Alberto;"El presente informe describe la experiencia adquirida a través de la ejecución&#xD;&#xA;de tres proyectos de informática desarrollados por la Unidad de Tecnología de&#xD;&#xA;Información del Centro Internacional de la Papa, una organización dedicada al&#xD;&#xA;uso, mejoramiento y conservación de la papa, camote y otros tubérculos andinos&#xD;&#xA;para contribuir a los Objetivos de Desarrollo Sostenible (SDG) de las Naciones&#xD;&#xA;Unidas, específicamente: reducción de la pobreza rural, incremento de la&#xD;&#xA;seguridad alimentaria y mejoramiento de ecosistemas y recursos naturales.&#xD;&#xA;El primer proyecto, Implementación de un sistema de gestión de seguridad&#xD;&#xA;de la información (SGSI), resulta clave dados los procesos de transformación&#xD;&#xA;digital y fusión con otros 11 centros de investigación internacionales, que&#xD;&#xA;atraviesa el CIP. El poder contar con un marco para responder de manera&#xD;&#xA;sistemática a riesgos crecientes en ciberseguridad se agudizó ante el súbito&#xD;&#xA;cambio a un modelo de trabajo remoto a raíz de la pandemia del covid-19. La&#xD;&#xA;resolución de las recomendaciones de auditoría, a partir de la aprobación de la&#xD;&#xA;política de seguridad de la información, desarrollada en lineamientos por dominio&#xD;&#xA;y el establecimiento de una línea base de entendimiento de responsabilidades&#xD;&#xA;entre los empleados de CIP, clave para el éxito de esta iniciativa, son algunos&#xD;&#xA;de los resultados más relevantes.&#xD;&#xA;La Implementación de una solución de firma electrónica, segundo proyecto&#xD;&#xA;descrito, igualmente obedece a necesidades de optimizar los procesos de&#xD;&#xA;aprobación de la organización junto a la de contar con métodos no repudiables&#xD;&#xA;para estas. Estas necesidades y el valor de la solución fueron intensificados por&#xD;&#xA;la masificación de modalidades remotas de trabajo a raíz del covid-19. Los&#xD;&#xA;líderes de área se han apropiado de esta tecnología e identifican con mayor&#xD;&#xA;agilidad las transacciones donde la solución aporta más significativamente y&#xD;&#xA;continúa el despliegue global, dentro del marco de la política institucional&#xD;&#xA;establecida para su uso y limitaciones.&#xD;&#xA;Finalmente, la Implementación de un nuevo sistema de gestión de servicios&#xD;&#xA;de tecnologías de información (ISMS en inglés), tercer proyecto presentado, fue&#xD;&#xA;una evolución necesaria para apoyar la maduración de procesos clave dentro&#xD;&#xA;del marco de ITIL (2011, hoy en transición a la versión 4), principalmente, gestión&#xD;&#xA;de cambios, gestión de pedidos de servicio y de activos.&#xD;&#xA;Las actividades de dirección seleccionadas de la Unidad de Tecnología de&#xD;&#xA;Información a mi cargo, ejecutadas entre los años 2019 y 2020, complementan,&#xD;&#xA;ahora desde la perspectiva de procesos y mejora interna, el doble rol de TI:&#xD;&#xA;excelencia operativa e innovación tecnológica. El año 2020 en particular requirió&#xD;&#xA;debido en parte a aspectos presupuestales, al reducirse la capacidad de&#xD;&#xA;implementación de proyectos de la institución, y el cambio de modalidad de&#xD;&#xA;trabajo a remoto, a ejecutar ambos aspectos con igual eficacia.&#xD;&#xA;En conclusión, la función informática surge en las necesidades del negocio y&#xD;&#xA;resulta en las soluciones que las atienden. Las necesidades expresadas&#xD;&#xA;progresivamente como objetivos estratégicos, iniciativas y proyectos van al&#xD;&#xA;mismo tiempo delineando el plan estratégico de TI. Este alineamiento debe ser&#xD;&#xA;mantenido a través de un trabajo cercano con la dirección de la organización para&#xD;&#xA;responder a la velocidad que demanden los cambios internos y externos.";2022-10-13;Ingeniería Informática3
"Implementaci&oacute;n de un sistema de gesti&oacute;n de activos de TI bajo la &oacute;ptica del marco ITIL 4";Recalde Manrique, Diego Andre Walter;Licenciatura;Huamán Monzón, Fernando Miguel;"La gestión activos de TI forma parte de las prácticas de ITIL y tiene como principal&#xD;&#xA;objetivo “garantizar un control completo de los Activos de TI de la empresa” (Rivas,&#xD;&#xA;2020). Una buena gestión de activos tecnológicos es importante para el seguimiento de&#xD;&#xA;las tecnologías que operan en la organización, reducción de costos, evitar riesgos&#xD;&#xA;legales, entre otros beneficios.&#xD;&#xA;Como queda demostrado dentro de la revisión realizada en el presente proyecto de&#xD;&#xA;tesis, se puede evidenciar que no se ha encontrado alguna implementación de la gestión&#xD;&#xA;de activos de TI que cuente con un respaldo de marcos, buenas prácticas, estándares&#xD;&#xA;actualizados, como es el caso de ITIL en su última versión 4, lo que podría causar que&#xD;&#xA;dicha gestión opere bajo una óptica desfasada.&#xD;&#xA;Como estado actual de la gestión de activos tecnológicos de las empresas, Calio et al.&#xD;&#xA;(2011) menciona que para la gestión de activos de TI en las empresas “el método más&#xD;&#xA;común era una auditoría física con una libreta y un lápiz”, y posteriormente se registra&#xD;&#xA;en una hoja de cálculo. También se usan lectores y códigos de barras.&#xD;&#xA;Asimismo, el control de los activos de TI es muy mecánico debido a que se hace uso de&#xD;&#xA;formatos en Excel y ello puede incurrir en un mal ingreso de información vulnerando la&#xD;&#xA;integridad de la información registrada (Ramirez, 2020).&#xD;&#xA;Adicionalmente, Cáceres y Cazares (2021) también agregan que la información&#xD;&#xA;referente a los activos de TI no puede ser accedida en tiempo real y que, al ser manejada&#xD;&#xA;por diferentes personas de la organización, puede contener errores. Además, esta sería&#xD;&#xA;información no centralizada y, de ser requerida por otras unidades, tendrían que esperar&#xD;&#xA;un reporte del área de la organización.&#xD;&#xA;En respuesta a esta problemática, el presente proyecto de fin de carrera tiene como&#xD;&#xA;finalidad implementar un sistema de gestión de activos de TI bajo la óptica del marco&#xD;&#xA;ITIL 4.&#xD;&#xA;Se modela el proceso de gestión de activos de TI basado en lo descrito en ITIL 4 y lo&#xD;&#xA;encontrado en la revisión sistemática, y se usa la metodología cascada para el&#xD;&#xA;desarrollo del software.";2022-10-13;Ingeniería Informática4
"Automatizaci&oacute;n del proceso de gesti&oacute;n de &oacute;rdenes de compra con clientes B2B en una empresa de pinturas usando RPA";Alpiste Sarmiento, Daniel Mijail;Licenciatura;Murillo Veliz, Braulio Oscar;"Desde el inicio del siglo XXI y con el desarrollo de la cuarta revolución industrial, en&#xD;&#xA;conjunto con la aplicación de la inteligencia artificial y el aprendizaje automático en los&#xD;&#xA;negocios, se ha desarrollado también una mejora de los procesos de negocio, pues ahora su&#xD;&#xA;ejecución se compone también de tareas automatizadas. Sin embargo, al intentar implementar&#xD;&#xA;estas se presentan problemas que son un común derivado en las corporaciones de todos los&#xD;&#xA;rubros: inversión de tiempo elevado y recursos para desarrollar nuevos programas que&#xD;&#xA;automaticen los procesos de negocio, necesidad de conocimiento técnico para aplicar&#xD;&#xA;soluciones de software convencionales, la no documentación de los procesos ni una correcta&#xD;&#xA;Administración de Procesos de Negocio (BPM), y, por último, la interacción de múltiples&#xD;&#xA;sistemas de información que pertenecen a una misma infraestructura de tecnologías de&#xD;&#xA;información durante la ejecución de los procesos de negocio.&#xD;&#xA;Las empresas de nuestro país, Perú, no son ajenas a dichos problemas. Por lo que&#xD;&#xA;mediante el presente proyecto se busca encontrar una solución a estos utilizando la tecnología&#xD;&#xA;de automatización robótica de procesos y una correcta administración de procesos de negocio&#xD;&#xA;en un proceso B2B, en específico, en una empresa de pinturas.&#xD;&#xA;Dentro de este proyecto se analizó la problemática descrita, el estado del arte de las&#xD;&#xA;tecnologías y metodologías que son usadas en el proyecto y también se desarrolló este último.&#xD;&#xA;Se realizó un análisis del estado actual del proceso de negocio y se propuso la nueva forma de&#xD;&#xA;ejecución. Luego se preparó la arquitectura de tecnologías de información que soportará la&#xD;&#xA;nueva ejecución. Después, se desarrolló las tareas automatizadas aplicando las metodologías&#xD;&#xA;propuestas. Por último, se preparó reportes gráficos sobre los resultados de esta ejecución y, a&#xD;&#xA;su vez, se realizó una medición de tiempos e indicadores seleccionados para evaluar el&#xD;&#xA;rendimiento del nuevo proceso de negocio.&#xD;&#xA;Con este proyecto se logró demostrar la eficiencia que se puede obtener en la ejecución&#xD;&#xA;de los procesos de negocio gracias a la automatización robótica de procesos y la solución a&#xD;&#xA;los problemas antes mencionados, incluyendo el aumento del nivel de satisfacción de los&#xD;&#xA;empleados y la interacción de los múltiples sistemas de información sin modificar la&#xD;&#xA;infraestructura tecnológica de la empresa.";2022-09-05;Ingeniería Informática5
"Desarrollo de un videojuego educativo configurable con mec&aacute;nicas de aprendizaje y de juego que permitan reforzar el aprendizaje de ciencia y tecnolog&iacute;a en estudiantes de primero de secundaria";Salazar Suasnabar, Hubert Eliot;Licenciatura;Baldeón Medrano, Johan Paul;"El presente trabajo de tesis abarca la implementación de un videojuego educativo con la&#xD;&#xA;capacidad de ser personalizado por parte de un docente o instructor y que, utilizando mecánicas&#xD;&#xA;de aprendizaje y de juego, refuerce el aprendizaje en el área de Ciencia y Tecnología de&#xD;&#xA;primero de secundaria. Para dicho fin, se ha elaborado un proyecto que incluye el&#xD;&#xA;establecimiento de la problemática, el objetivo general y sus objetivos específicos, la revisión&#xD;&#xA;del estado de arte, la presentación de los resultados alcanzados, las conclusiones y los trabajos&#xD;&#xA;futuros relacionados al proyecto en sí.&#xD;&#xA;En el primer capítulo se presenta la problemática del proyecto de tesis, partiendo de un contexto&#xD;&#xA;de rendimiento bajo por parte de alumnos peruanos en temas de Ciencia y Tecnología, y debido&#xD;&#xA;a los problemas causa, que son la necesidad de herramientas interactivas que tomen en cuenta&#xD;&#xA;la forma de aprender de los estudiantes de la generación actual con determinados tipos de&#xD;&#xA;jugador, la necesidad de videojuegos educativos que tomen en cuenta las características de&#xD;&#xA;determinados estilos de aprendizaje para complementar el aprendizaje en temas de Ciencia y&#xD;&#xA;Tecnología y la necesidad de videojuegos que permiten su personalización o configuración por&#xD;&#xA;parte del instructor o docente, a nivel de aprendizaje, se obtiene el problema central que es la&#xD;&#xA;dificultad por parte de los docentes para la personalización de los temas y logros de aprendizaje&#xD;&#xA;en soluciones interactivas que complementan el aprendizaje en el área de Ciencia y Tecnología.&#xD;&#xA;A partir de dicho problema central, se obtiene el objetivo general, el desarrollo de un&#xD;&#xA;videojuego educativo configurable, que busca atender al problema central, y sus objetivos&#xD;&#xA;específicos que buscan responder a cada uno de los problemas causas descritos previamente.&#xD;&#xA;También, se presentan los resultados esperados ligados a cada uno de los objetivos específicos,&#xD;&#xA;los indicadores objetivamente verificables de dichos resultados y las herramientas y&#xD;&#xA;metodologías que se utilizaron para obtener los resultados esperados.";2022-09-05;Ingeniería Informática6
"Implementaci&oacute;n de un Sistema de Informaci&oacute;n Hospitalario (HIS) interoperable basado en HL7 para un Centro M&eacute;dico de categor&iacute;a II-1 o superior";Vargas Rioja, Carlos Alberto,Arrué Pajares, Sebastián Daniel;Licenciatura;Lena Valega, Ángel Gabriel;"Dada la coyuntura actual del COVID-19, en el Perú se ha puesto en evidencia que la falta&#xD;&#xA;de un sistema de salud integrado e interoperable y ha repercutido en la gestión del manejo de esta&#xD;&#xA;pandemia. El sistema de salud, tanto público como privado se encuentra fraccionado y cada&#xD;&#xA;componente, como EsSalud, MINSA o privados; aislados de los demás. Así, hemos visto que el&#xD;&#xA;comando Covid, liderado por los ministros de salud, ha tenido que hacer esfuerzos para tratar de&#xD;&#xA;recopilar y consolidar la información de todos los centros médicos y de sus pacientes en todo el&#xD;&#xA;país. A la capacidad de los sistemas de poder intercambiar información entre sí se le denomina&#xD;&#xA;interoperabilidad; y cuando un sistema tiene características de interoperabilidad es más fácil su&#xD;&#xA;integración con otros sistemas de información. Es por esta razón que en el presente proyecto se&#xD;&#xA;presenta un sistema de salud hospitalario (HIS, por sus siglas en inglés), usando el protocolo&#xD;&#xA;estándar HL7 y desarrollado en una plataforma web. Este sistema, una vez desplegado en distintos&#xD;&#xA;centros de salud, permitirá el intercambio y recopilación de información entre todos los centros&#xD;&#xA;de la red de salud y también estará preparado para interoperar e integrarse más fácilmente con&#xD;&#xA;sistemas de salud de otras entidades. Usando este protocolo, pueden ser acoplados nuevos&#xD;&#xA;sistemas al paquete de manera que es completamente interoperable y escalable. El HIS tiene como&#xD;&#xA;objetivo gestionar la información administrativa de un centro de salud en lo que respecta a&#xD;&#xA;finanzas, recursos humanos (personal y pacientes), instalaciones, citas, recursos, activos y el&#xD;&#xA;proceso de hospitalización de un paciente. En conjunto con otros sistemas, como la Historia&#xD;&#xA;Clínica Electrónica, Sistema de Farmacia, Laboratorio, Radiología y otros, el HIS permite&#xD;&#xA;gestionar toda la información de salud y administrativa de un centro médico y sus pacientes. Para&#xD;&#xA;ello, nuestra tesis “Implementar un Sistema de Información Hospitalario (HIS) interoperable&#xD;&#xA;basado en estándares HL7 para un Centro Médico de categoría II-1 o superior” tiene por objetivos&#xD;&#xA;específicos diseñar la arquitectura de este sistema HIS, implementar los servicios web necesarios,&#xD;&#xA;desarrollar la aplicación web, diseñar e implementar el módulo de seguridad e identificar y evaluar&#xD;&#xA;sus principios de usabilidad. Por lo mencionado anteriormente, el presente trabajo adquiere suma&#xD;&#xA;relevancia debido a la coyuntura del COVID-19 y esperamos sea considerado para trabajos&#xD;&#xA;futuros que busquen mejorar el colapsado sistema sanitario del país mediante sistemas de&#xD;&#xA;información modernos e interoperables.";2022-08-17;Ingeniería Informática7
"Dise&ntilde;o de un modelo para identificar amenazas no intencionales de ciberseguridad en instituciones p&uacute;blicas generadas por personal interno a partir de su comportamiento sobre la infraestructura de TI";Castillo Lopez, Anderson Jesús;Licenciatura;Bruzza Moncayo, Mariuxi Alexandra,Tupia Anticona, Manuel Francisco;"En la actualidad, el uso de las tecnologías de la información y comunicación (TIC) en los&#xD;&#xA;sistemas públicos han tomado un rol cada vez más importante e imprescindible. Las&#xD;&#xA;necesidades por parte de los gobiernos para mejorar, transparentar y agilizar sus&#xD;&#xA;actividades y procesos nos han llevado a su uso sostenible y evolutivo en el tiempo.&#xD;&#xA;Esta evolución ha permitido desarrollar sistemas más complejos con el fin de brindar un&#xD;&#xA;mejor servicio a los ciudadanos y organizaciones públicas. Sin embargo, debido a la&#xD;&#xA;sensibilidad de la información que se maneja en dichos sistemas, se han vuelto blanco de&#xD;&#xA;diversos tipos de ataques con el fin de afectar la confidencialidad, integridad y&#xD;&#xA;disponibilidad para propósitos desconocidos o de beneficios económicos.&#xD;&#xA;Si bien la mayoría de los ataques de ciberseguridad provienen de agentes externos, existe&#xD;&#xA;agentes internos como los trabajadores que sin ninguna intención pueden abrir una puerta&#xD;&#xA;que permite que las organizaciones se vean vulnerables. Por esta razón el presente&#xD;&#xA;proyecto de tesis tiene como finalidad elaborar un modelo de identificación de amenazas&#xD;&#xA;no intencionales de ciberseguridad basado en el estándar de la familia de normas ISO&#xD;&#xA;27000, marcos de referencia como COBIT 2019 y NIST v1.1.&#xD;&#xA;Este modelo está conformado por una lista de componentes de los cuales se tiene los&#xD;&#xA;objetivos y métricas del modelo, una herramienta de análisis situacional, una lista de&#xD;&#xA;patrones de comportamiento, una matriz de gestión de riesgos y una guía aplicativa del&#xD;&#xA;modelo, los cuales forman parte de los objetivos del presente proyecto siendo el principal&#xD;&#xA;objetivo tener un modelo funcional.&#xD;&#xA;Finalmente, se presentan las conclusiones como la implementación de los componentes&#xD;&#xA;junto con la verificación a través del juicio experto, así como también haber participado en&#xD;&#xA;la 4th International Conference on Information Technology &amp; Systems 2021 en Ecuador&#xD;&#xA;(Castillo, Tupia, &amp; Bruzza, 2021).";2022-08-11;Ingeniería Informática8
"Propuesta de mejora de la cadena de suministros de la palta mediante el uso de herramientas de an&aacute;lisis de series de tiempo, analytics y optimizaci&oacute;n matem&aacute;tica";Goyzueta Meneses, Cesar Eduardo;Licenciatura;Rojas Polo, Jonatan Edward;"La tesis que estaré presentando es sobre una propuesta de mejora de la cadena de&#xD;&#xA;suministros de la palta mediante el uso de herramientas de análisis de series de tiempo,&#xD;&#xA;analytics y optimización matemática. Se divide en marco teórico, donde se muestra un&#xD;&#xA;panorama claro sobre la investigación operativa, cadena de suministro, analítica y series de&#xD;&#xA;tiempo; para comprender lo que se abarcará. El segundo capítulo sería sobre casos de estudio&#xD;&#xA;similares al enfoque del estudio. El siguiente capítulo sería un análisis del Perú enfocado en&#xD;&#xA;la exportación de la palta, su capacidad hídrica, superficie agrícola disponible, informalidad y&#xD;&#xA;pobreza. En el cuarto capítulo se propondrá una propuesta de mejora utilizando información&#xD;&#xA;climática, potenciales mercados a exportar, información socioeconómica, rendimientos de los&#xD;&#xA;terrenos y limitantes hídricas como de terreno; usando las herramientas de series de tiempo,&#xD;&#xA;analytics y un modelo matemático. Para el quinto capítulo se realizará el análisis financiero&#xD;&#xA;para ver si es rentable para los agricultores implementar la cosecha de la palta. En el siguiente&#xD;&#xA;capítulo se analizarán los datos otorgados por el modelo, el análisis descriptivo y el análisis&#xD;&#xA;financiero. Para finalizar, el último capítulo abarcará las conclusiones a partir de lo evaluado&#xD;&#xA;durante el documento.";2022-07-22;Ingeniería Informática9
"Dise&ntilde;o de un sistema de gesti&oacute;n de protecci&oacute;n de datos personales basado en la norma ISO/IEC 27701:2019";Girbau Roque, Christian Diego;Licenciatura;Huamán Monzón, Fernando Miguel;"La presente tesis consiste en la investigación y aplicación de las regulaciones y estándares&#xD;&#xA;relacionados a la protección de datos personales para una institución cuyo principal servicio&#xD;&#xA;consiste en la provisión de evaluaciones de competencias profesionales y académicas. En la&#xD;&#xA;introducción de la tesis, se muestra que existe un imperativo para las organizaciones de cumplir&#xD;&#xA;con las regulaciones establecidas para la protección de datos personales, así como también de&#xD;&#xA;cumplir con los requerimientos de los titulares de los datos personales procesados por las&#xD;&#xA;entidades.&#xD;&#xA;El proyecto consta de cinco objetivos, los cuales abarcan el diseño de procesos, políticas y&#xD;&#xA;marcos para cumplir con las cláusulas necesarias para un sistema de gestión de seguridad de la&#xD;&#xA;información, según el estándar ISO 27001:2013, incluyendo las respectivas extensiones que&#xD;&#xA;presenta el estándar ISO 27701:2019 para incluir la gestión de protección de datos personales.&#xD;&#xA;Esto implica el diseño de componentes que detallan el contexto de la organización en relación&#xD;&#xA;a la protección de datos personales, la gestión de riesgos de protección de datos personales, y&#xD;&#xA;componentes de soporte para el sistema de gestión, tales como la matriz de comunicaciones y&#xD;&#xA;el estándar de gestión documental. También se desarrollaron marcos para la implementación&#xD;&#xA;del sistema de gestión, así como para la medición, monitoreo y mejora continua de este.&#xD;&#xA;A lo largo del trabajo, se muestra como los diferentes componentes del sistema de gestión&#xD;&#xA;interactúan entre sí para generar una mayor eficiencia en el manejo de la protección de datos&#xD;&#xA;personales en una organización. Del mismo modo, se muestra como el estándar ISO&#xD;&#xA;27005:2018 de gestión de riesgos de seguridad de la información puede ser adaptado y tomado&#xD;&#xA;como marco para la gestión de riesgos en un sistema de gestión de protección de datos&#xD;&#xA;personales.";2022-07-21;Ingeniería Informática10
