Institución;Titulo;Autor;Grado;Asesor(es);Resumen;Año
Universidad César Vallejo;Evaluación del valor nutricional y sensorial de nuggets a partir de carne de cuy (Cavia porcellus) empanizados con diferentes proporciones de harina de trigo (Triticum aestivum) por harina de soya (Glycine max) y kiwicha granulada (Amaranthus caudatus);Galvez Panta, Miluska Fiorella;Ingeniera Agroindustrial;Cruz Escobedo, Antis Jesus;"En este trabajo de investigación el objetivo principal fue realizar un análisis del valor
nutricional y evaluación sensorial de nuggets de carne de cuy (cavia porcellus)
empanizados con diferentes proporciones de harina de trigo (Triticum aestivum) por
harina de soya (Glycine max) y kiwicha granulada (Amaranthus caudatus). El diseño del
trabajo fue bifactorial. Para el proceso de elaboración se trabajó con la NTP-CODEX
STAN 166:2014: Barritas, Porciones y Filetes de pescado empanizados o rebozados
congelados y la NTP 201.018:2001 de carne y productos cárnicos. Se trabajo con 4
tratamientos de los cuales el nuggets está dividido en masa y empanizado para la
formación de la masa (60%). El T0 como el T1, T2 Y T3 están constituidos por: 90% de
pulpa de cuy molida, 7% de harina de trigo, 1.6% de sal, 1.4% otros condimentos. Para el
empanizado (40%). El T0 está constituido por 24% de huevo,70% de harina de trigo, 1%
de sal, 5% otros condimentos; T1: 24% de huevo, 40% de harina de trigo, 25% de harina
de soya, 5% de kiwicha granulada, 1% de sal, 5% otros condimentos; T2: 24% de huevo,
28% de harina de trigo, 35% de harina de soya, 7% de kiwicha granulada, 1% de sal, 5%
otros condimentos; T3: 24% de huevo, 20% de harina de trigo, 40% de harina de soya,
10% de kiwicha granulada, 1% de sal, 5% otros condimentos. Se utilizó una prueba de
análisis cuantitativo para analizar varios atributos como el sabor, color, textura y
aceptabilidad del nuggets con una escala de categorías no estructurada también llamada
escala hedónica del 1 al 7 según atributo asignado a 50 panelistas no entrenados de la
facultad de ingeniería de la universidad. Para el análisis del valor nutricional a cada
tratamiento de nuggets de carne de cuy. se aplicó un análisis de varianza ANOVA, con
un nivel de confianza de 95% y 5% de error indicando que si existe diferencia significativa
entre los 4 tratamientos. En la evaluación sensorial solo el atributo de sabor y textura no
presentaron diferencia significativa de los 4 tratamientos analizados. Teniendo como
resultado en cuanto al valor nutricional y sensorial al tratamiento 3 como el mejor en los
resultados se obtuvo en proteínas 23.70%, grasas 7.37% y carbohidratos 14.37%
indicando que se encuentra dentro de lo establecido según la norma técnica peruana";2021
Universidad César Vallejo;Caracterización fisicoquímica y propiedades funcionales de harina de dos variedades de habas (Vicia faba) Sincos y Amarilla Molinera;Huamán Cerquera, Luz Celina;Ingeniera Agroindustrial;Lescano Bocanegra, Leslie Cristina;"Las habas (Vicia faba L.) es de origen Mediterráneo adaptado y generando diversas
variedades en la sierra alta del Perú, siendo de consumo habitual ya sea en grano
fresco y seco; debido a su importancia proteica es necesario incluir en la
elaboración de nuevos productos que aporten más nutrientes. Es necesario
caracterizar las harinas para este trabajo se elaboró harina de dos variedades de
habas (Vicia faba L.) Sincos y Amarilla molinera caracterizando así sus propiedades
fisicoquímicas y funcionales tales como proteínas humedad, grasa, fibra,
carbohidratos, pH, °Brix, granulometría y capacidad de absorción de agua (CAA),
capacidad de hinchamiento (CH), capacidad de retención de aceite (CRA). Los
resultados expresados en porcentajes indican que hay una diferencia significativa
(p&lt;0.05) en la mayoría de análisis realizados a ambas muestras siendo el contenido
de proteína 24.5% a 24.0%; humedad 11.16% a 10.23%; grasa, 2.0% a 1.8%; fibra
4.16% a 4.40%; carbohidratos 54.71% a 55.22%; pH 6.57% a 6.77; °Brix 3.13% a
3.07% y granulometría 8% de retención hasta la malla n° 200 para ambas muestras
y en los análisis para características funcionales se determinó (CAA) 0.94 ml/g a
0.87 ml/g, (CH) 45% a 62%, (CRA) 0.96 ml/g a 0.89 ml/g en las harinas de haba
variedad Sincos y Amarilla molinera respectivamente. Concluyendo que la harina
de la variedad Sincos presenta mejores características fisicoquímicas y funcionales
para ser incluida en diversos alimentos.";2019
Universidad César Vallejo;Técnicas de elaboración de un pan tipo molde a base de harina de Cushuro (Nostoc sphaericum) con bajo contenido de carbohidratos: Estudio sistemático;Valentín Guevara, Mary Angel;Ingeniera Agroindustrial;Ulloa Bocanegra, Segundo Gerardo;"Uno de los problemas de elaboración son las técnicas de manejo y el contenido de
carbohidratos en un alimento, esto se debe al bajo consumo de alimentos ricos en
proteínas y minerales, existen un bajo consumo de alimentos andinos que son una
fuente rica de proteínas y aminoácidos esenciales en beneficio de la salud. El
estudio tuvo como objetivo realizar una revisión sistemática de la literatura existente
para identificar las principales técnicas de elaboración de un pan tipo molde a base
de harina de cushuro, empleando una metodología no experimental descriptiva
simple, por ser de orientación transversal, con un diseño retrospectivo, mediante el
uso de técnicas de la observación, mediante la información sistemática de inclusión,
exclusión y calidad, teniendo resultados la técnica de la elaboración del proceso
normal por ser la que menos desnaturaliza las proteínas dentro de las
características fisicoquímicas tenemos: Proteínas 12.94%, grasas 8.77%,
carbohidratos 37.70%, fibra 7.54%, humedad 31.06% y cenizas 2.11% del pan de
cushuro, se concluye, como alternativas viables para mejorar procesos productivos
alimentarios y evitar la desnaturalización de las propiedades nutritivas, luego de
aplicar los criterios de selección e inclusión determinándose 11 ejemplares.";2021
Universidad César Vallejo;Efecto del pretratamiento sobre las características microestructurales y el rendimiento de obtención de azúcares reductores totales de la cascarilla de arroz (oryza sativa l.) Durante el proceso de hidrólisis con celulasa (e.c:3.2.1.4.);Aredo Ortiz, Fernando Antonio;Ingeniero Agroindustrial;Pagador Flores, Sandra Elizabeth;"Se evaluó el efecto del pretratamiento de congelación, alcalinidad y de ambos sobre
las características micro estructurales y el rendimiento de obtención de azúcares
reductores totales de la cascarilla de arroz (Oryza sativa L.) Durante el proceso de
hidrólisis con celulasa (E.C:3.2.1.4.). A la cascarilla de arroz homogénea sin y con
pretratamientos se hidrolizó con 150 U de Celulasa por cada gramo de residuo en
10 ml de acetato por 60 h, a 37 ºC, pH 5.5 y a 100 rpm. Los resultados después de
los pretratamientos se obtuvieron que, el C3 contuvo un mayor % celulosa (62.51 ±
0.3), menor % hemicelulosa (12.44 ± 0.28) y aumento % lignina (24.72 ± 0.14%).
Además, en el análisis de microscopía electrónica se observa mayor división, y
menor aglomeramiento observándose una estructura en forma de red cristalina. Así
mismo tuvo un mayor rendimiento en la obtención de azúcares reductores (673,84
mgART/gsustrato) y un mejor porcentaje de conversión de celulosa con un 97.01% a
comparación de los pretratamientos. Concluyendo estadísticamente, que, si hay
diferencia significativa entre la relación del rendimiento de obtención de azúcares
reductores totales, características microestructurales sobre los pretratamientos.";2020
Universidad César Vallejo;Efecto de la proporción de harinas de tarwi (lupinus mutabilis): yuca (manihot esculenta): arracacha (arracacia xanthorrhiza) sobre las características fisicoquímicas y aceptabilidad general de un snack;Riveros Riveros, Yosmelinda;Ingeniera Agroindustrial;Pagador Flores, Sandra Elizabeth;"El objetivo de esta investigación fue evaluar el efecto de la proporción de harinas
de tarwi (lupinus mutabilis): yuca (manihot esculenta): arracacha (arracacia
xanthorrhiza) sobre sus características fisicoquímicas y aceptabilidad general de un
snack.
Para ello se realizaron tres formulaciones que fueron: F1 (38%: 10%: 52%); F2
(30%: 35%: 35%) y F3 (10 %: 60%: 30%) a los cuales se determinaron: color
utilizando parámetros L*, a*, b*; textura instrumental utilizando parámetro de dureza
en N, % Humedad, % ceniza, % proteína, % grasa, % fibra. Además de una
aceptabilidad general que fue evaluada mediante la prueba Friedman (grupos
relacionados) y Wilcoxon.
Los resultados mostraron que F3 obtuvo el valor más alto en L* (62.532 ± 2.63) y
b* (6.77± 1.46), y en el caso de a* la F1 obtuvo (11.717 ± 0.67). Por otro lado, la F3
obtuvo el mayor valor en textura con 10.324 ± 3.658 N; también un % Humedad de
6.95 ± 0.19c. Por lo contrario, la formulación F1 demostró tener mayor contenido de
Cenizas 3.228 % ± 1.871, Proteína 5% ± 0.04c, Grasa 1.86%± 0.06c, Fibra 1.64%±
0.05c, y reiteradamente F3 resaltó en % de Carbohidratos 81.32± 1.97. En la
aceptabilidad general mostró diferencia significativa (p&lt;0.05) donde F3
(10%:60%:30%) alcanzó la mayor calificación con un promedio de 6.73
correspondiendo al grado de aceptabilidad “me gusta moderadamente”. Se
concluye que si hubo un efecto significativo (p&gt;0.05) en las proporciones de harinas
de tarwi (lupinus mutabilis): yuca (manihot esculenta): arracacha (arracacia
xanthorrhiza).";2020
Universidad César Vallejo;Determinación del valor nutricional y evaluación sensorial de una tortilla a base de harina de trigo (Triticum aestivum) y harina de yuca (Manihot esculenta);Rodríguez Iglesias, Luis Jair;Ingeniero Agroindustrial;Cruz Escobedo, Antis Jesús;"El proyecto consistió en elaborar tortillas a base de harina de trigo y yuca,
con sabor a orégano donde se enfocó en las propiedades nutricionales como
una alternativa de dar el valor agregado a la harina de yuca, siendo dirigido
a personas que gustan en cuidar su salud.
Estas tortillas tuvieron un peso promedio de 25 a 30 gramos donde se enfocó
a análisis nutricionales determinándose en laboratorio autorizado, como
objetivo fue determinar el valor nutricional y evaluación sensorial, fueron
resultados positivos así se demostró en la tabla 3. De una muestra
representativa de 100 g. por tratamiento y se compararon con una MC de
Tortillas de la empresa Bimbo en: Proteínas 4.0%; Grasa 0.0%,
Carbohidratos 27.0%, Fibra Cruda 0.0%, determinándolo con el T1. Arrojo
en: Proteínas 10.32%, Grasa 0.96%, Carbohidratos 77.16%, Fibra Cruda
0.87%; T2 en: Proteínas 9.47%, Grasa 5.06%, Carbohidratos 78%, Fibra
Cruda 0.91%; en el T3 con resultado de: Proteínas 8.49% Grasa, 5.56%,
Carbohidratos 79%, Fibra Cruda 0.95%.
En los análisis sensoriales se realizó mediante 100 panelistas no entrenados
que si consumen frecuentemente tortillas, con la finalidad de tener resultados
proximales, se realizó de 4 – 6 pm ciudad de Cascas y mediante este análisis
se dieron resultados en el sabor, textura y aroma promedio fueron bajo. Se
aplicó el paquete Statistics SPSS Ver. 24, con una confianza del 95% en la
prueba de hipótesis rechaza a la H0, dando resultados &lt; 0.16%. Es por esa
razón que se acepta a la H1, se detallan en la tabla 3 y 6. De los resultados.";2020
Universidad César Vallejo;Valor nutricional del germinado de loctao (Vigna Radiata (L) R. Wilczk) y evaluación de vida útil;Costa Ocas, Isabel del Pilar;Ingeniera Agroindustrial;Cruz Escobedo, Antis Jesús;"La siguiente investigación tuvo como objetivo determinar el valor nutricional del
germinado de loctao (Vigna Radiata L. ) y la vida útil. Durante los últimos años se han
realizados investigaciones y análisis de leguminosas germinadas, estos tienden a
aumentar su valor nutricional. Así es el caso del loctao germinado, este previene
enfermedades de tipo inmune, anemia, osteoporosis y raquitismo, que son causadas por
la carencia de hierro, calcio y zinc. Se realizó la recolección de datos, empleando
artículos científicos, libros, revistas y tesis, además se realizaron análisis fisicoquímicos
y crecimiento de plántula. Después de las observaciones se determinó la curva de
crecimiento de la plántula del germinado de loctao, llegando a medir 73mm. El valor
nutricional del germinado de loctao de energía, proteínas, fibras, carbohidratos,
vitaminas A, vitaminas B6, vitaminas B9, vitaminas C, vitaminas D, vitaminas E,
vitaminas K, calcio, fósforo, hierro, potasio, sodio y humedad del germinado de loctao
fueron de 30Kcal, 3.04g, 1.8g, 5.8g, 20IU, &lt; 0.1mg, 62mg, 14.5mg, 33mg, 13mg, 54mg,
&lt; 0.1 mg, 150mg, 6mg y 93.04% respectivamente. Para determinar la vida útil del
germinado de loctao se distribuyeron tres muestras, en las cuales la primera se almacenó
en una bolsa de polietileno sellada por completo a temperatura ambiente (X1), el
segundo se almacenó en una bolsa de polietileno con orificios a temperatura ambiente
(X2), el tercero almacenó en una bandeja cubierta con papel toalla (X3), tuvo como
mejor resultado de almacenamiento, la muestra X2, donde los brotes resultaron semi
deshidratados y las hojas semi-amarillas.";2021
Universidad César Vallejo;Efecto de la sustitución parcial de Harina de Trigo (Triticum durum) por Harina de Kiwicha (Amaranthus caudatus) y Harina de Cáscara de Maracuyá (Passiflora edulis) en las Características Sensoriales y Calidad Culinaria de fideos tipo fettuccine”;Riveros Gonzales, Yajaira Tatiana;Ingeniera Agroindustrial;Pagador Flores, Sandra Elizabeth;"Esta investigación tuvo como objetivo determinar el efecto de la sustitución parcial
de Harina de Trigo (Triticum durum) por Harina de Kiwicha (Amaranthus caudatus)
y Harina de Cáscara de Maracuyá (Passiflora edulis) en las Características
Sensoriales y Calidad Culinaria de fideos tipo fettuccine. Se empleó un diseño
factorial 3 x 2, sustituyendo dos niveles (15% y 30%) de harina de trigo, con
diferentes proporciones equivalentes (1:14, 2:13 y 3:12) por harina de kiwicha y
harina de cáscara de maracuyá. En calidad culinaria se determinó el tiempo de
cocción, ganancia en peso, grado de hinchamiento y pérdida de sólidos; para las
características sensoriales se utilizó el cuestionario CATA presentando 17
atributos que describen las características sensoriales de la pasta. En el análisis
de datos se utilizaron técnicas multivariadas. Los resultados obtenidos por el
método CATA mostraron que la M505 (1HCM:14HK), M606 (2HCM:13HK) y M707
(3HCM:12HK) constituyen un solo grupo representando un nivel de sustitución del
15% la cual no presenta características sensoriales diferenciables, mientras que
al comparar los fideos que poseen un nivel de sustitución del 30%(M303
(2HCM:28HK) y M101(6HCM:24HK)) y la M404(100%Trigo) presentan
características sensoriales diferenciables. En calidad culinaria se reportó 5 grupos
(cluster), existiendo diferencias significativas entre las muestras. De manera
global la M606 y M505 son estadísticamente iguales teniendo mayores pérdidas
de sólidos “Pédos” y con menor tiempo de cocción “tiión”, mientras que la M101
posee mayor tiempo de cocción “tiión” y humedad “Hudad”. La M404 presento
mayor ganancia en peso “Gaeso” y la M000 fue la que obtuvo menor resultado,
existiendo una relación opuesta entre ellas. En el caso de la M707 y M303 indican
que son estadísticamente iguales. Se concluye que la muestra que presentó
mejores características sensoriales aceptables fue el tratamiento control (100%
Trigo), resultando como guía para mejorar en función a ello y la calidad culinaria
se determinó que a medida se sustituye el trigo por harina de kiwicha y harina de
cáscara de maracuyá aumenta el tiempo de cocción y disminuye la ganancia en
peso, grado de hinchamiento y pérdida de sólidos.";2020
Universidad César Vallejo;Determinación de las características fisicoquímicas de una  conserva a base de yacon (smallanthus sonchifolius) enriquecido  con almíbar de pitahaya (selenicereus megalanthus) y azúcar de  coco (cocos nucifera);Carbajal Salcedo, Lourdes Denisse;Ingeniera Agroindustrial;Cruz Escobedo, Antis Jesús;"La siguiente investigación tuvo como objetivo analizar 2 productos con bajo índice 
glucémico el yacón y pitahaya, se realizaron 3 muestras A, B y C estas son similares 
en relación al pH, en la muestra control hay una ligera variación a 3.32 como 
resultado final a los 30 días, en lo que respecta a la acidez las muestras A y B 
oscilan entre 0.19 a .028 en relación al almacenamiento, la muestra C de 0.19 a 
0.25 y la control de 0.19 a 0.23, en la muestra A, de 0.17 a 20 grados brix, la 
muestra B de 24 a 25° Brix y la muestra C de 28 ° brix 30° brix y con la muestra 
control, va de 18° a 20° brix, la conclusión es que las características fisicoquímicas 
de pH, % acidez y ºbrix, en las conservas almacenadas por períodos de 15 y 30 
días tienen relación con los brix, para constatar esto se usó estadística con análisis 
de aceptabilidad y sensoriales para poder ver de una manera general con 12 
panelistas semi-entrenados, entre los factores fisicoquímicos, y la aceptabilidad, así 
como un pequeño estudio de la vida útil de nuestro producto.";2019
Universidad César Vallejo;Efecto de la atmósfera modificada sobre la vida útil sensorial de espárrago verde (Asparagus Officinalis) mínimamente procesado en cadena de frío por el método de Weibull;Avila Gabriel, Alexander Joel;Ingeniero Agroindustrial;Pagador Flores, Sandra Elizabeth;El Perú lidera la comercialización de espárrago a nivel mundial, debido a ello es imprescindible conocer todas la variables que puedan afectar a la calidad del producto, que decantan en la vida útil del producto, debido a que es un vegetal muy susceptible a los cambio de temperatura y estrés mecánico. En la investigación se somete a prueba las variables de almacenamiento y transporte (transporte directo Perú Holanda y transporte con escala Perú - Holanda), tipo de empaque (con atmosfera modificada pasiva y sin atmosfera modificada), y el tiempo como tercer factor, las evaluaciones se realizaron en 6 sesiones con 30 panelistas no entrenados a una frecuencia de 3 días (0, 3, 6, 9, 12 y 15 días), se evaluaron las condicione fisicoquímicas y cinética de concentración de gases, igualmente se estimó la vida útil de los turiones de espárrago fresco mediante el modelo de Weibull, donde, se evaluó el grado de aceptación y rechazo de los atributos de calidad. De los resultados obtenidos el esparrago puede ser consumido antes de 13 días en un sistema de comercialización sin ruptura de cadena de frio y con envase de atmosfera modificada pasiva.;2019
